citizen_id,ward_id,description,damage_type,severity,address,latitude,longitude
1,1,Large pothole causing accidents near Shivajinagar signal,pothole,critical,FC Road Shivajinagar Pune,18.5314,73.8446
2,2,Road crack spreading across entire lane width,crack,medium,MG Road Pune,18.5195,73.8553
3,3,Waterlogging on residential street after rainfall,waterlogging,critical,Koregaon Park Lane 5 Pune,18.5362,73.8941
4,4,Road subsidence near water pipeline area,subsidence,critical,Karve Road Pune,18.5017,73.8286
5,5,Deep pothole near bus stop filled with water,pothole,medium,Baner Road Pune,18.5590,73.7868
1,6,Road crack running along footpath for 50 meters,crack,low,Kothrud Main Road Pune,18.5074,73.8076
2,7,Severe waterlogging blocks vehicle movement,waterlogging,critical,Hadapsar Ring Road Pune,18.5018,73.9260
3,8,Ground subsidence after pipeline excavation work,subsidence,medium,Viman Nagar Road Pune,18.5679,73.9143
4,9,Multiple potholes in school zone area,pothole,critical,Wagholi Road Pune,18.5769,73.9820
5,10,Longitudinal crack on main highway,crack,medium,Wakad Road Pimpri Pune,18.5983,73.7630
